医院名,住所,郵便番号,評価,口コミ件数,Google Maps URL,公式ウェブサイト,検索クエリ
おとなとこどもの経堂歯科,日本、〒156-0052 東京都世田谷区経堂１丁目２４−１５,156-0052,4.4,161,https://maps.google.com/?cid=9367085869294718134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.otonatokodomo-kyodo-dental.com/,小児歯科 東京都
原宿こども歯科,日本、〒151-0051 東京都渋谷区千駄ケ谷３丁目５１−６ 原宿MOA3F,151-0051,4.8,99,https://maps.google.com/?cid=3980194606562806412&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hk-dental.net/,小児歯科 東京都
医療法人社団心音会こどもの歯科｜祐天寺 歯医者・小児歯科/小児矯正,日本、〒153-0052 東京都目黒区祐天寺２丁目１５−１ ＭＫビル 1F 矯正歯科 小児歯科 マウスピース矯正 小児矯正 ホワイトニング,153-0052,4.6,91,https://maps.google.com/?cid=10094333780854755874&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://kodomonoshika.net/?utm_source=mybusiness,小児歯科 東京都
永福町駅前歯科・矯正歯科・小児歯科,日本、〒168-0064 東京都杉並区永福４丁目１−４ 永福ランドビル 1F,168-0064,4.4,79,https://maps.google.com/?cid=685897212281268867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://eifuku-dental.net/,小児歯科 東京都
かつらファミリー歯科,日本、〒108-0074 東京都港区高輪１丁目２６−１１,108-0074,4.7,91,https://maps.google.com/?cid=7028163084508203206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.dental-katsura.com/,小児歯科 東京都
キッズデンタル麻布,日本、〒106-0045 東京都港区麻布十番２丁目１７−４ SUN麻布十番,106-0045,4.3,52,https://maps.google.com/?cid=11697025693828496868&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kids-azabu.com/,小児歯科 東京都
浜田山おとなこども歯科・矯正歯科,日本、〒168-0065 東京都杉並区浜田山３丁目３０−６ 1階,168-0065,4.4,211,https://maps.google.com/?cid=16871755216288551894&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://hamadayama-shika.net/,小児歯科 東京都
下高井戸パール歯科クリニック・世田谷,日本、〒156-0044 東京都世田谷区赤堤５丁目３２−２,156-0044,4.3,113,https://maps.google.com/?cid=13501822496198250484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.pearl-shika.com/,小児歯科 東京都
永福町木村歯科クリニック,日本、〒168-0063 東京都杉並区和泉３丁目３１−６ カーサピアンタ,168-0063,4.1,53,https://maps.google.com/?cid=15730238471126536976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.dc-kimura.com/,小児歯科 東京都
You矯正歯科 新宿医院,日本、〒160-0023 東京都新宿区西新宿３丁目２−２７ オーチュ－第７ビル７階,160-0023,4.8,350,https://maps.google.com/?cid=15724624049658140637&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.bubunkyousei.com/?utm_source=google&utm_medium=maps&utm_campaign=shinjuku,矯正歯科 東京都
銀座矯正歯科(矯正専門歯科),日本、〒104-0061 東京都中央区銀座３丁目３−１４ グランディアⅡ 6F,104-0061,4.2,418,https://maps.google.com/?cid=6040029523189902074&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.ginzakyousei.com/?utm_source=google&utm_medium=maps,矯正歯科 東京都
東京加悦矯正歯科クリニック銀座医院,日本、〒104-0061 東京都中央区銀座２丁目７−１０ 銀座マロニエテラス 7F,104-0061,4.8,243,https://maps.google.com/?cid=3885159471640852778&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.kireina-hanarabi.jp/,矯正歯科 東京都
CS矯正歯科クリニック,日本、〒150-0042 東京都渋谷区宇田川町４２−４,150-0042,4.7,250,https://maps.google.com/?cid=1246184741065713621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.cskyousei.com/,矯正歯科 東京都
渋谷F&B矯正歯科・東京,日本、〒150-0046 東京都渋谷区松濤１丁目２９−１ 渋谷クロスロードビル 5F,150-0046,4.8,212,https://maps.google.com/?cid=3654292716323545275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://fb-kyousei.com/?utm_source=google&utm_medium=maps,矯正歯科 東京都
永福町駅前歯科・矯正歯科・小児歯科,日本、〒168-0064 東京都杉並区永福４丁目１−４ 永福ランドビル 1F,168-0064,4.4,79,https://maps.google.com/?cid=685897212281268867&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://eifuku-dental.net/,矯正歯科 東京都
東松原さかい歯科・矯正歯科,日本、〒156-0043 東京都世田谷区松原５丁目２７−１１ パスコマンション東松原 102,156-0043,4.5,155,https://maps.google.com/?cid=7229801069708011322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hmbsakai-dc.com/,矯正歯科 東京都
Oh my teeth 東京新宿,日本、〒160-0022 東京都新宿区新宿３丁目１９−４ MLJ新宿ビル 5階,160-0022,4.6,614,https://maps.google.com/?cid=6906442184654799518&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.oh-my-teeth.com/locations/shinjuku?tags=gmb_shinjuku,矯正歯科 東京都
東京八重洲キュア矯正歯科,日本、〒103-0028 東京都中央区八重洲１丁目６−１７ 大久保ビルディング 6階,103-0028,4.6,224,https://maps.google.com/?cid=8105181486315531488&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tokyo-cure.jp/?utm_source=google&utm_medium=map,矯正歯科 東京都
表参道AK歯科・矯正歯科,日本、〒150-0001 東京都渋谷区神宮前５丁目５０−６ サクセス青山ビル 3F・8F,150-0001,4.6,68,https://maps.google.com/?cid=17057524077154546271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://omotesando-ak.com/?utm_medium=organic&utm_source=GMBlisting,矯正歯科 東京都
Oh my teeth 東京銀座有楽町矯正歯科,日本、〒100-0006 東京都千代田区有楽町２丁目１０−１ 東京交通会館 2F,100-0006,4.6,493,https://maps.google.com/?cid=3308366006259107121&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.oh-my-teeth.com/locations/yurakucho?tags=gmb_yurakucho,矯正歯科 東京都
青山外苑矯正歯科,日本、〒107-0061 東京都港区北青山２丁目７−２２ H・T・神宮外苑ビル ４F,107-0061,4.8,89,https://maps.google.com/?cid=8550480234283458143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.aoyama-kyosei.jp/,矯正歯科 東京都
Oh my teeth 東京表参道矯正歯科,日本、〒107-0061 東京都港区北青山３丁目１５−５ 1F,107-0061,4.6,534,https://maps.google.com/?cid=5240876425141486783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.oh-my-teeth.com/locations/omotesando?tags=gmb_omotesando,矯正歯科 東京都
渋谷矯正歯科,日本、〒150-0002 東京都渋谷区渋谷１丁目８−７ 10階A,150-0002,4.2,369,https://maps.google.com/?cid=8463995434016304542&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.shibuyakyousei.jp/?utm_source=google&utm_medium=map,矯正歯科 東京都
吉祥寺デンタルクリニック,日本、〒180-0003 東京都武蔵野市吉祥寺南町１丁目１５−５ 伊藤ビル2F,180-0003,4.6,62,https://maps.google.com/?cid=17912630525509467621&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://k-dentalclinic.jp/,矯正歯科 東京都
南森町カツベ・こども矯正歯科,日本、〒530-0041 大阪府大阪市北区天神橋３丁目４−１３ 三栄ビル 2階,530-0041,4.9,177,https://maps.google.com/?cid=9575870421848145116&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.katsubedc-nanmori.com/,小児歯科 大阪府
みずたにおとなこども歯科クリニック,日本、〒535-0001 大阪府大阪市旭区太子橋１丁目１−１ ロンポトー101,535-0001,4.8,323,https://maps.google.com/?cid=16700274014048847535&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.mizutani-dc.net/,小児歯科 大阪府
なんばエッセ歯科・小児歯科クリニック,日本、〒556-0017 大阪府大阪市浪速区湊町２丁目２−２２ アーベインなんば ウエスト1F,556-0017,4.9,210,https://maps.google.com/?cid=6870071761949420149&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://nedc.jp/?utm_source=Google&utm_medium=map,小児歯科 大阪府
あい大人こども歯科クリニック,日本、〒536-0007 大阪府大阪市城東区成育３丁目５−１,536-0007,4.4,115,https://maps.google.com/?cid=9486430368696246200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.ai-otonakodomoshika.com/?utm_source=google&utm_medium=maps,小児歯科 大阪府
みなと大人こども歯科クリニック,日本、〒552-0004 大阪府大阪市港区夕凪２丁目１−１ サンファミリー夕凪,552-0004,4.5,112,https://maps.google.com/?cid=10005087015725362860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://otonakodomo-dc.com/,小児歯科 大阪府
あびこ大人こども歯科クリニック,日本、〒558-0011 大阪府大阪市住吉区苅田７丁目６−２８ ユニオンハイツ １F,558-0011,4.6,115,https://maps.google.com/?cid=12026224194832124640&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.abiko-dental.com/,小児歯科 大阪府
境川おとな・こども歯科 矯正歯科,日本、〒550-0024 大阪府大阪市西区境川１丁目１−３１ メディカルセンタービル 5階,550-0024,5,50,https://maps.google.com/?cid=13900796093647933046&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://sakaigawa-dental.com/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,小児歯科 大阪府
こいし・こども矯正歯科 小児歯科ランド,日本、〒563-0048 大阪府池田市呉服町１−１ サンシティ池田 3階301,563-0048,4.9,267,https://maps.google.com/?cid=855768218735114068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.koishi-child-dental.com/?utm_source=map&utm_medium=map,小児歯科 大阪府
HANA Intelligence歯科,日本、〒541-0044 大阪府大阪市中央区伏見町４丁目２−１４ WAKITA 藤村御堂筋ビル B1F,541-0044,4.9,326,https://maps.google.com/?cid=7537256443856256890&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.hana-intelligence.com/,矯正歯科 大阪府
大阪矯正歯科グループ,日本、〒530-0001 大阪府大阪市北区梅田１丁目１−３−１８００ 大阪駅前第3ビル １８階,530-0001,4.7,114,https://maps.google.com/?cid=14540670760933624089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.osaka-kyousei.com/?utm_source=google&utm_medium=maps,矯正歯科 大阪府
矯正歯科医院 大阪オルソ,日本、〒530-0001 大阪府大阪市北区梅田３丁目２−１２３ イノゲート 大阪12階,530-0001,4.9,187,https://maps.google.com/?cid=318885330372548358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://umedalingual.com/#utm_source=google&utm_medium=map,矯正歯科 大阪府
梅田キュア矯正歯科,日本、〒530-0013 大阪府大阪市北区茶屋町５−２ 4階,530-0013,4.8,159,https://maps.google.com/?cid=14385472832646405699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://umeda-cure.jp/?utm_source=google&utm_medium=map,矯正歯科 大阪府
