NoteForms,ノートやドキュメントをフォーム形式で共有・収集できるプラットフォーム。
Postpone,メールやタスクのリマインダーを設定し、後で対応するためのツール。
Castanet,ポッドキャストの制作・配信を支援するオールインワンプラットフォーム。
Swifteq,高速で効率的なテキスト編集を可能にするエディタ。
Chatbase,独自のデータを基にカスタムAIチャットボットを作成・管理できるプラットフォーム。
ReplyGuy,オンライン上の会話で製品を自然に紹介するAIツール。
Photopea,ブラウザ上で動作する無料の画像編集ツール。
Plug AI,AIモデルの統合と管理を簡単に行えるプラットフォーム。
Umax,ユーザー行動分析と最適化を支援するツール。
Cal AI,AIを活用したカレンダー管理とスケジュール最適化ツール。
Puff Count,喫煙者向けに吸引回数をカウントし、健康管理をサポートするアプリ。
Second Brain,個人の知識や情報を整理・管理するデジタルノートツール。
BoltAI,AIを活用した高速なデータ分析と予測を提供するプラットフォーム。
Rise,睡眠の質を向上させるためのパーソナライズドアプリ。
Superpower ChatGPT,ChatGPTの機能を拡張するブラウザ拡張機能。
Parqet,投資ポートフォリオの追跡と分析を行うツール。
Testimonial,顧客の声やレビューを収集・表示するためのプラットフォーム。
PDF.ai,PDFドキュメントをAIで解析・編集するツール。
Docsium.com,ドキュメントの管理と共有を効率化するプラットフォーム。
Inkdrop,開発者向けのMarkdown対応ノートアプリ。
iacrea,AIを活用したクリエイティブ制作プラットフォーム。
BlockSurvey,プライバシー重視のアンケート作成ツール。
Earnifi,未請求の暗号資産を発見・請求するためのサービス。
Formula bot,スプレッドシートの数式作成を支援するAIツール。
Calendesk,予約管理と顧客対応を一元化するプラットフォーム。
Neural frames,AIを活用した動画生成と編集ツール。
48hourslogo,48時間以内にロゴデザインを提供するサービス。
LogoAI,AIを活用してロゴデザインを自動生成するプラットフォーム。
uBrand,ブランド構築とマーケティング支援を行うツール。
HabitKit,習慣形成と追跡をサポートするアプリ。
thumbnailtest,サムネイル画像の効果をテスト・分析するサービス。
Bannerbear / Blowserbear,バナーや画像を自動生成・管理するプラットフォーム。
Tweet Hunter,Twitter上でのエンゲージメントを増やすためのツール。
SiteGPT,ウェブサイトに特化したAIチャットボットを作成できるツール。
Feather,軽量でシンプルなプロジェクト管理ツール。
CyberLeads,サイバーセキュリティ関連のリードジェネレーションプラットフォーム。
TypingMind,タイピング練習と速度向上をサポートするアプリ。
DevUtils,開発者向けのツール集で、さまざまな開発支援を提供。
ShipFast,スタートアップ向けに製品ローンチをサポートするツール。
IndiPage,シンプルな個人用ランディングページ作成ツール。
Headshotpro,AIを活用してプロフェッショナルなヘッドショット写真を生成するサービス。